14-1-6085573-1-10-141;Field 'Web: Show Line Discount Pct.'(141) in Table 'Document Capture Setup'(6085573);Show Line Discount Pct.;
14-1-6085573-1-10-142;Field 'Web: Show Prod. Posting Group'(142) in Table 'Document Capture Setup'(6085573);Show Prod. Posting Group;
14-1-6085573-1-10-143;Field 'Maintain User Document Search'(143) in Table 'Document Capture Setup'(6085573);Maintain User Specific Doc. Search;
14-1-6085573-1-10-144;Field 'Web: Show Posting Account Name'(144) in Table 'Document Capture Setup'(6085573);Show Posting Account Name;
14-1-6085573-1-10-145;Field 'Web: Dim. & Job Field Place.'(145) in Table 'Document Capture Setup'(6085573);Dimension && Job Fields Placement;
14-1-6085573-1-20-145;Field 'Web: Dim. & Job Field Place.'(145) in Table 'Document Capture Setup'(6085573);Before Quantity,After Amount;
14-1-6085573-1-10-146;Field 'Web: Show Unit of Measure'(146) in Table 'Document Capture Setup'(6085573);Show Unit of Measure;
14-1-6085573-1-10-147;Field 'Web: Show Type'(147) in Table 'Document Capture Setup'(6085573);Show Type;
14-1-6085573-1-10-148;Field 'Web: Show Amounts in LCY'(148) in Table 'Document Capture Setup'(6085573);Show Amounts in LCY;
14-1-6085573-1-20-148;Field 'Web: Show Amounts in LCY'(148) in Table 'Document Capture Setup'(6085573);Never,Always,If different from purchase currency;
14-1-6085573-1-10-149;Field 'Web: Historical Documents'(149) in Table 'Document Capture Setup'(6085573);Show in Historical Documents;
14-1-6085573-1-20-149;Field 'Web: Historical Documents'(149) in Table 'Document Capture Setup'(6085573);Only Posted Documents,Posted and Un-posted Documents;
14-1-6085573-1-10-15;Field 'Miscellaneous File Path'(15) in Table 'Document Capture Setup'(6085573);Miscellaneous File Path;
14-1-6085573-1-10-150;Field 'Error E-Mail'(150) in Table 'Document Capture Setup'(6085573);Error E-Mail;
14-1-6085573-1-10-154;Field 'Dynamics NAV Server Name'(154) in Table 'Document Capture Setup'(6085573);Dynamics NAV Server Name;
14-1-6085573-1-10-155;Field 'Dynamics NAV Server Instance'(155) in Table 'Document Capture Setup'(6085573);Dynamics NAV Server Instance;
14-1-6085573-1-10-156;Field 'Dynamics NAV Server Port'(156) in Table 'Document Capture Setup'(6085573);Dynamics NAV Server Port;
14-1-6085573-1-10-157;Field 'Purch: Approval NAV Client'(157) in Table 'Document Capture Setup'(6085573);Approval NAV Client;
14-1-6085573-1-20-157;Field 'Purch: Approval NAV Client'(157) in Table 'Document Capture Setup'(6085573);Classic,RoleTailored;
14-1-6085573-1-10-158;Field 'Barcode Nos.'(158) in Table 'Document Capture Setup'(6085573);Barcode Nos.;
14-1-6085573-1-10-159;Field 'Web: Show FA Posting Type'(159) in Table 'Document Capture Setup'(6085573);Show FA Posting Type;
14-1-6085573-1-10-16;Field 'E-Mail File Path'(16) in Table 'Document Capture Setup'(6085573);E-Mail File Path;
14-1-6085573-1-10-160;Field 'Security Certificate'(160) in Table 'Document Capture Setup'(6085573);Security Certificate;
14-1-6085573-1-10-17;Field 'Export Local OCR Config.'(17) in Table 'Document Capture Setup'(6085573);Export Local OCR Configuration;
14-1-6085573-1-10-170;Field 'Codeunit ID: Record ID Lookup'(170) in Table 'Document Capture Setup'(6085573);Codeunit ID: Record ID Lookup;
14-1-6085573-1-10-171;Field 'Company Code in Archive'(171) in Table 'Document Capture Setup'(6085573);Include Company Code in Archive paths;
14-1-6085573-1-10-172;Field 'Use Cloud OCR'(172) in Table 'Document Capture Setup'(6085573);Use Cloud OCR;
14-1-6085573-1-10-173;Field 'Cloud OCR Cache Timeout'(173) in Table 'Document Capture Setup'(6085573);Cloud OCR Cache Timeout;
14-1-6085573-1-10-174;Field 'Category Code in Archive'(174) in Table 'Document Capture Setup'(6085573);Include Category Code in Archive paths;
14-1-6085573-1-10-176;Field 'Web: Allow Forward and Approve'(176) in Table 'Document Capture Setup'(6085573);Allow Forward and Approve;
14-1-6085573-1-10-177;Field 'Web: Allow Forward w/o Approva'(177) in Table 'Document Capture Setup'(6085573);Allow Forward w/o Approval;
14-1-6085573-1-10-178;Field 'Web: Allow Forward and Return'(178) in Table 'Document Capture Setup'(6085573);Allow Forward and return for Approval;
14-1-6085573-1-10-179;Field 'Use Acc. and Dim. App. Pms.'(179) in Table 'Document Capture Setup'(6085573);Use Account and Dimension Approval Permissions;
14-1-6085573-1-10-18;Field 'Export Remote OCR Config.'(18) in Table 'Document Capture Setup'(6085573);Export Remote OCR Configuration;
14-1-6085573-1-10-180;Field 'Use UIC Documents'(180) in Table 'Document Capture Setup'(6085573);Use Unidentified Company Documents;
14-1-6085573-1-10-19;Field 'Remote OCR Config. Path'(19) in Table 'Document Capture Setup'(6085573);Remote OCR Config. Path;
14-1-6085573-1-10-2;Field 'Document Nos.'(2) in Table 'Document Capture Setup'(6085573);Document Nos.;
14-1-6085573-1-10-20;Field 'Date Filter'(20) in Table 'Document Capture Setup'(6085573);Date Filter;
14-1-6085573-1-10-21;Field 'Late Loading Classic CaptureUI'(21) in Table 'Document Capture Setup'(6085573);Late Loading Classic CaptureUI;
14-1-6085573-1-10-3;Field 'Template Nos.'(3) in Table 'Document Capture Setup'(6085573);Template Nos.;
14-1-6085573-1-10-30;Field 'SMTP Require SSL/TLS'(30) in Table 'Document Capture Setup'(6085573);SMTP require SSL/TLS;
14-1-6085573-1-10-31;Field 'Sender E-mail'(31) in Table 'Document Capture Setup'(6085573);Sender E-Mail;
14-1-6085573-1-10-32;Field 'Sender Name'(32) in Table 'Document Capture Setup'(6085573);Sender Name;
14-1-6085573-1-10-33;Field 'Company Code'(33) in Table 'Document Capture Setup'(6085573);Company Code;
14-1-6085573-1-10-4;Field 'Scanned File Path for OCR'(4) in Table 'Document Capture Setup'(6085573);Scanned File Path for OCR;
14-1-6085573-1-10-40;Field 'Scanner Driver Type'(40) in Table 'Document Capture Setup'(6085573);Scanner Driver Type;
14-1-6085573-1-20-40;Field 'Scanner Driver Type'(40) in Table 'Document Capture Setup'(6085573);Isis,Twain;
14-1-6085573-1-10-41;Field 'Sign Scanned Documents'(41) in Table 'Document Capture Setup'(6085573);Sign Scanned Documents;
14-1-6085573-1-10-43;Field 'PDF Signature Certificate'(43) in Table 'Document Capture Setup'(6085573);PDF Signature Certificate;
14-1-6085573-1-10-44;Field 'PDF Signature Cert. Password'(44) in Table 'Document Capture Setup'(6085573);PDF Signature Certificate Password;
14-1-6085573-1-10-6;Field 'File Path for OCR-proc. files'(6) in Table 'Document Capture Setup'(6085573);File Path for OCR-processed files;
14-1-6085573-1-10-64;Field 'Delimiters'(64) in Table 'Document Capture Setup'(6085573);Delimiters;
14-1-6085573-1-10-65;Field 'Approval Administrator Role ID'(65) in Table 'Document Capture Setup'(6085573);Approval Administrator Role ID;
14-1-6085573-1-10-68;Field 'Data Version'(68) in Table 'Document Capture Setup'(6085573);Data Version;
14-1-6085573-1-10-7;Field 'PDF File Path for OCR'(7) in Table 'Document Capture Setup'(6085573);PDF File Path for OCR;
14-1-6085573-1-10-8;Field 'Unidentified Company File Path'(8) in Table 'Document Capture Setup'(6085573);Unidentified Company File Path;
14-1-6085573-1-10-81;Field 'Web: Dimension 1 Code (Header)'(81) in Table 'Document Capture Setup'(6085573);Web Dimension 1 Code (Header);
14-1-6085573-1-10-82;Field 'Web: Dimension 2 Code (Header)'(82) in Table 'Document Capture Setup'(6085573);Web Dimension 2 Code (Header);
14-1-6085573-1-10-83;Field 'Web: Dimension 3 Code (Header)'(83) in Table 'Document Capture Setup'(6085573);Web Dimension 3 Code (Header);
14-1-6085573-1-10-84;Field 'Web: Dimension 4 Code (Header)'(84) in Table 'Document Capture Setup'(6085573);Web Dimension 4 Code (Header);
14-1-6085573-1-10-85;Field 'Web: Dimension 5 Code (Header)'(85) in Table 'Document Capture Setup'(6085573);Web Dimension 5 Code (Header);
14-1-6085573-1-10-86;Field 'Web: Dimension 6 Code (Header)'(86) in Table 'Document Capture Setup'(6085573);Web Dimension 6 Code (Header);
14-1-6085573-1-10-87;Field 'Web: Dimension 7 Code (Header)'(87) in Table 'Document Capture Setup'(6085573);Web Dimension 7 Code (Header);
14-1-6085573-1-10-88;Field 'Web: Dimension 8 Code (Header)'(88) in Table 'Document Capture Setup'(6085573);Web Dimension 8 Code (Header);
14-1-6085573-1-10-89;Field 'Web: Dimension 1 Code (Lines)'(89) in Table 'Document Capture Setup'(6085573);Web Dimension 1 Code (Lines);
14-1-6085573-1-10-9;Field 'Fill-out LCY'(9) in Table 'Document Capture Setup'(6085573);Fill-out LCY;
14-1-6085573-1-10-90;Field 'Web: Dimension 2 Code (Lines)'(90) in Table 'Document Capture Setup'(6085573);Web Dimension 2 Code (Lines);
14-1-6085573-1-10-91;Field 'Web: Dimension 3 Code (Lines)'(91) in Table 'Document Capture Setup'(6085573);Web Dimension 3 Code (Lines);
14-1-6085573-1-10-92;Field 'Web: Dimension 4 Code (Lines)'(92) in Table 'Document Capture Setup'(6085573);Web Dimension 4 Code (Lines);
14-1-6085573-1-10-93;Field 'Web: Dimension 5 Code (Lines)'(93) in Table 'Document Capture Setup'(6085573);Web Dimension 5 Code (Lines);
14-1-6085573-1-10-94;Field 'Web: Dimension 6 Code (Lines)'(94) in Table 'Document Capture Setup'(6085573);Web Dimension 6 Code (Lines);
14-1-6085573-1-10-95;Field 'Web: Dimension 7 Code (Lines)'(95) in Table 'Document Capture Setup'(6085573);Web Dimension 7 Code (Lines);
14-1-6085573-1-10-96;Field 'Web: Dimension 8 Code (Lines)'(96) in Table 'Document Capture Setup'(6085573);Web Dimension 8 Code (Lines);
14-1-6085573-1-10-97;Field 'Web: Show Job No.'(97) in Table 'Document Capture Setup'(6085573);Show Job No.;
14-1-6085573-1-10-98;Field 'Web: Show Job Task No.'(98) in Table 'Document Capture Setup'(6085573);Show Job Task No.;
14-1-6085573-1-10-99;Field 'Web: Show VAT Prod. Group'(99) in Table 'Document Capture Setup'(6085573);Show VAT Prod. Group;
14-1-6085573-7-10-1160040000;TextConst with ID 1160040000 in Table 6085573;Moving files\#1######################;
14-1-6085573-7-10-1160040001;TextConst with ID 1160040001 in Table 6085573;Do you want to create and assign %1 for all Document Categories?;
14-1-6085573-7-10-1160040002;TextConst with ID 1160040002 in Table 6085573;Do you want to export all document categories to Cloud OCR?;
14-1-6085573-7-10-161024013;TextConst with ID 161024013 in Table 6085573;%1 must be unique.\\%1 ''%2'' has also been entered in company ''%3''.;
14-1-6085573-7-10-161024014;TextConst with ID 161024014 in Table 6085573;Documents have already been imported. When you change %1 the system will automatically move files to %2.\\It is important that you take a backup of the existing directory structure and files before the system moves the files.\\Did you do this and do you want to continue changing %1 from ''%3'' to ''%4''?;
14-1-6085573-7-10-161024016;TextConst with ID 161024016 in Table 6085573;The value in %1 must be the same in all companies that are using Document Capture Web Approval.\\Do you want to update the value of this field in all other companies?;
14-1-6085573-7-10-161024017;TextConst with ID 161024017 in Table 6085573;Unable to connect to the Document Capture Web Site. Please make sure that you are running the latest version of the Document Capture Web Site.;
14-1-6085574-0-10-6085574;Object with ID 6085574 in Table 6085574;Scanner;
14-1-6085574-1-10-1;Field 'Code'(1) in Table 'Scanner'(6085574);Code;
14-1-6085574-1-10-2;Field 'Name'(2) in Table 'Scanner'(6085574);Name;
14-1-6085575-0-10-6085575;Object with ID 6085575 in Table 6085575;Document Category;
14-1-6085575-1-10-1;Field 'Code'(1) in Table 'DC Document Category'(6085575);Code;
14-1-6085575-1-10-10;Field 'Registered Documents'(10) in Table 'DC Document Category'(6085575);Registered Documents;
14-1-6085575-1-10-11;Field 'Rejected Documents'(11) in Table 'DC Document Category'(6085575);Rejected Documents;
14-1-6085575-1-10-12;Field 'Export PDF File'(12) in Table 'DC Document Category'(6085575);Export PDF File;
14-1-6085575-1-20-12;Field 'Export PDF File'(12) in Table 'DC Document Category'(6085575);No,Yes - Keep Existing Or Create New,Yes - Always Create New;
14-1-6085575-1-10-13;Field 'Process Scanned Files'(13) in Table 'DC Document Category'(6085575);Process Scanned Files;
14-1-6085575-1-10-14;Field 'Process PDF Files'(14) in Table 'DC Document Category'(6085575);Process PDF Files;
14-1-6085575-1-10-15;Field 'PDF Format'(15) in Table 'DC Document Category'(6085575);PDF Format;
14-1-6085575-1-20-15;Field 'PDF Format'(15) in Table 'DC Document Category'(6085575);PDF,PDF/A;
14-1-6085575-1-10-16;Field 'TIFF Image Resolution'(16) in Table 'DC Document Category'(6085575);TIFF Image Resolution;
14-1-6085575-1-10-18;Field 'Allow Deleting Documents'(18) in Table 'DC Document Category'(6085575);Allow Deleting Documents;
14-1-6085575-1-10-19;Field 'Scanning Allowed'(19) in Table 'DC Document Category'(6085575);Scanning Allowed;
14-1-6085575-1-10-2;Field 'Description'(2) in Table 'DC Document Category'(6085575);Description;
14-1-6085575-1-10-20;Field 'E-Mail Connection Endpoint'(20) in Table 'DC Document Category'(6085575);E-Mail Connection Endpoint;
14-1-6085575-1-10-21;Field 'Document with UIC'(21) in Table 'DC Document Category'(6085575);Doc. with Unidentified Company;
14-1-6085575-1-20-21;Field 'Document with UIC'(21) in Table 'DC Document Category'(6085575);Import in active Company,Import as UIC document;
14-1-6085575-1-10-22;Field 'No. of Documents with UIC'(22) in Table 'DC Document Category'(6085575);Open UIC Documents;
14-1-6085575-1-10-24;Field 'No. of Excluded Sources'(24) in Table 'DC Document Category'(6085575);No. of Excluded Sources;
14-1-6085575-1-10-25;Field 'Allow Drag-and-Drop'(25) in Table 'DC Document Category'(6085575);Allow Drag-and-Drop;
14-1-6085575-1-10-26;Field 'Source Field No.'(26) in Table 'DC Document Category'(6085575);Source Field No.;
14-1-6085575-1-10-27;Field 'Source Field No. (Name)'(27) in Table 'DC Document Category'(6085575);Source Field No. (Name);
14-1-6085575-1-10-28;Field 'No. of Source Table Filters'(28) in Table 'DC Document Category'(6085575);No. of Source Table Filters;
14-1-6085575-1-10-29;Field 'Destination Header Table No.'(29) in Table 'DC Document Category'(6085575);Destination Header Table No.;
14-1-6085575-1-10-3;Field 'Source Table No.'(3) in Table 'DC Document Category'(6085575);Source Table No.;
14-1-6085575-1-10-30;Field 'Destination Line Table No.'(30) in Table 'DC Document Category'(6085575);Destination Line Table No.;
14-1-6085575-1-10-31;Field 'Archive E-mails on Document'(31) in Table 'DC Document Category'(6085575);Archive E-mails on Document;
14-1-6085575-1-10-32;Field 'Source Search Field No.'(32) in Table 'DC Document Category'(6085575);Source Search Field No.;
14-1-6085575-1-10-33;Field 'TIFF Image Color Mode'(33) in Table 'DC Document Category'(6085575);TIFF Image Color Mode;
14-1-6085575-1-20-33;Field 'TIFF Image Color Mode'(33) in Table 'DC Document Category'(6085575);Black & White,Gray,Color;
14-1-6085575-1-10-4;Field 'Source Table Name'(4) in Table 'DC Document Category'(6085575);Source Table Name;
14-1-6085575-1-10-5;Field 'Source Type'(5) in Table 'DC Document Category'(6085575);Source Type;
14-1-6085575-1-20-5;Field 'Source Type'(5) in Table 'DC Document Category'(6085575); ,Vendor,Contact,Customer,Job,Item,Fixed Asset,Employee;
14-1-6085575-1-10-50;Field 'Codeunit ID: Reopen'(50) in Table 'DC Document Category'(6085575);Codeunit ID: Reopen;
14-1-6085575-1-10-52;Field 'No. of Identification Fields'(52) in Table 'DC Document Category'(6085575);No. of Identification Fields;
14-1-6085575-1-10-53;Field 'Document Category GUID'(53) in Table 'DC Document Category'(6085575);Document Category GUID;
14-1-6085575-1-10-54;Field 'Register without Template'(54) in Table 'DC Document Category'(6085575);Register without Template;
14-1-6085575-1-10-55;Field 'Register Documents Automatic.'(55) in Table 'DC Document Category'(6085575);Register Documents Automatically;
14-1-6085575-1-10-56;Field 'Codeunit ID: Show Reg. Doc.'(56) in Table 'DC Document Category'(6085575);Codeunit ID: Show Reg. Doc.;
14-1-6085575-1-10-58;Field 'Codeunit ID: Get Doc. Status'(58) in Table 'DC Document Category'(6085575);Codeunit ID: Get Doc. Status;
14-1-6085575-1-10-6;Field 'Open Documents'(6) in Table 'DC Document Category'(6085575);Open Documents;
14-1-6085575-1-10-60;Field 'Documents for OCR'(60) in Table 'DC Document Category'(6085575);Documents for OCR;
14-1-6085575-1-10-61;Field 'Documents for import'(61) in Table 'DC Document Category'(6085575);Documents for import;
14-1-6085575-1-10-62;Field 'Documents with error'(62) in Table 'DC Document Category'(6085575);Documents with error;
14-1-6085575-1-10-64;Field 'Split on Barcode'(64) in Table 'DC Document Category'(6085575);Split on Barcode;
14-1-6085575-1-10-65;Field 'Split Barcode Text'(65) in Table 'DC Document Category'(6085575);Split on Barcode Text;
14-1-6085575-1-10-66;Field 'Split on Blank Page'(66) in Table 'DC Document Category'(6085575);Split on Blank Page;
14-1-6085575-1-10-67;Field 'Split on Source ID'(67) in Table 'DC Document Category'(6085575);Split on Source ID;
14-1-6085575-1-10-68;Field 'Auto Move to Company'(68) in Table 'DC Document Category'(6085575);Auto Move to Company;
14-1-6085575-1-10-7;Field 'Process New Files Automatic'(7) in Table 'DC Document Category'(6085575);Process New Files Automatically;
14-1-6085575-1-10-70;Field 'Codeunit ID: Get File Count'(70) in Table 'DC Document Category'(6085575);Codeunit ID: Get File Count;
14-1-6085575-1-10-72;Field 'Codeunit ID: Doc. or File'(72) in Table 'DC Document Category'(6085575);Codeunit ID: Show Document or File;
14-1-6085575-1-10-74;Field 'Codeunit ID: Import Files'(74) in Table 'DC Document Category'(6085575);Codeunit ID: Import Files;
14-1-6085575-1-10-76;Field 'Split on Sep. Fields'(76) in Table 'DC Document Category'(6085575);Split on Separator Fields;
14-1-6085575-1-10-77;Field 'Archive Documents in Cloud OCR'(77) in Table 'DC Document Category'(6085575);Archive Documents in Cloud OCR;
14-1-6085575-1-20-77;Field 'Archive Documents in Cloud OCR'(77) in Table 'DC Document Category'(6085575);No,One Day,One Week,One Month,One Year,Permanent;
14-1-6085575-1-10-8;Field 'No. of Templates'(8) in Table 'DC Document Category'(6085575);No. of Templates;
14-1-6085575-1-10-9;Field 'No. of Documents'(9) in Table 'DC Document Category'(6085575);No. of Documents;
14-1-6085575-7-10-1000000001;TextConst with ID 1000000001 in Table 6085575;There are no open documents in this group.;
14-1-6085575-7-10-1000000005;TextConst with ID 1000000005 in Table 6085575;No Document Separators can be created on a %1.\\Documents placed in a %1 will automatically be distributed to the correct categories, based on the Document Separator patterns of the individual categories.;
14-1-6085575-7-10-1000000006;TextConst with ID 1000000006 in Table 6085575;You cannot delete %1 %2 because there is at least one template for this category.;
14-1-6085575-7-10-1000000007;TextConst with ID 1000000007 in Table 6085575;You cannot delete %1 %2 because there is at least one document for this category.;
14-1-6085575-7-10-1160040001;TextConst with ID 1160040001 in Table 6085575;The %1 is not part of the primary key of the %2.;
14-1-6085575-7-10-1160040002;TextConst with ID 1160040002 in Table 6085575;The %1 cannot be changed because there is at least one template with a value for this category.;
14-1-6085575-7-10-1160040003;TextConst with ID 1160040003 in Table 6085575;%1 is already used as %2 in another %3.;
14-1-6085575-7-10-1160040005;TextConst with ID 1160040005 in Table 6085575;You cannot rename a %1.;
14-1-6085575-7-10-161024013;TextConst with ID 161024013 in Table 6085575;%1 - %2;
14-1-6085575-7-10-161024015;TextConst with ID 161024015 in Table 6085575;Please delete all identification fields before you change %1.;
14-1-6085575-7-10-161024016;TextConst with ID 161024016 in Table 6085575;The %1 cannot be changed because it has one or more %2 with %3 assigned.;
14-1-6085576-0-10-6085576;Object with ID 6085576 in Table 6085576;Category Language;
14-1-6085576-1-10-1;Field 'Document Category Code'(1) in Table 'Document Category Language'(6085576);Document Category Code;
14-1-6085576-1-10-2;Field 'Language Code'(2) in Table 'Document Category Language'(6085576);Language Code;
14-1-6085576-1-10-3;Field 'Language Name'(3) in Table 'Document Category Language'(6085576);Language Name;
14-1-6085577-0-10-6085577;Object with ID 6085577 in Table 6085577;Document Comment Line;
14-1-6085577-1-10-1;Field 'Table ID'(1) in Table 'Document Comment Line'(6085577);Table ID;
14-1-6085577-1-10-2;Field 'No.'(2) in Table 'Document Comment Line'(6085577);No.;
14-1-6085577-1-10-3;Field 'Line No.'(3) in Table 'Document Comment Line'(6085577);Line No.;
14-1-6085577-1-10-4;Field 'Type'(4) in Table 'Document Comment Line'(6085577);Type;
14-1-6085577-1-20-4;Field 'Type'(4) in Table 'Document Comment Line'(6085577);User,Status Code,,,,,Other;
14-1-6085577-1-10-5;Field 'Code'(5) in Table 'Document Comment Line'(6085577);Code;
14-1-6085577-1-10-6;Field 'User ID'(6) in Table 'Document Comment Line'(6085577);User ID;
14-1-6085577-1-10-7;Field 'Creation Date/Time'(7) in Table 'Document Comment Line'(6085577);Date/Time;
14-1-6085577-1-10-8;Field 'Comment'(8) in Table 'Document Comment Line'(6085577);Comment;
14-1-6085577-7-10-1160040000;TextConst with ID 1160040000 in Table 6085577;You cannot rename a %1.;
14-1-6085578-0-10-6085578;Object with ID 6085578 in Table 6085578;OCR Language;
14-1-6085578-1-10-1;Field 'Code'(1) in Table 'OCR Language'(6085578);Code;
14-1-6085578-1-10-2;Field 'Name'(2) in Table 'OCR Language'(6085578);Name;
14-1-6085578-1-10-3;Field 'Dictionary'(3) in Table 'OCR Language'(6085578);Dictionary;
14-1-6085579-0-10-6085579;Object with ID 6085579 in Table 6085579;Template;
14-1-6085579-1-10-1;Field 'No.'(1) in Table 'Template'(6085579);No.;
14-1-6085579-1-10-10;Field 'Description'(10) in Table 'Template'(6085579);Description;
14-1-6085579-1-10-101;Field 'Purch. Auto Match Invoice'(101) in Table 'Template'(6085579);Auto Match Invoice;
14-1-6085579-1-20-101;Field 'Purch. Auto Match Invoice'(101) in Table 'Template'(6085579);No,Receipt Only,Order Only,Receipt or Order;
14-1-6085579-1-10-102;Field 'Purch. Validate VAT Calc.'(102) in Table 'Template'(6085579);Validate VAT Calculation;
14-1-6085579-1-10-103;Field 'Validate Line Totals'(103) in Table 'Template'(6085579);Validate Line Totals;
14-1-6085579-1-10-104;Field 'Purch. Inv. Reg. Step 1'(104) in Table 'Template'(6085579);Invoice Reg. Step 1;
14-1-6085579-1-20-104;Field 'Purch. Inv. Reg. Step 1'(104) in Table 'Template'(6085579); ,Create Invoice,Match Order & Create Invoice,Match & Update Order;
14-1-6085579-1-10-105;Field 'Purch. Inv. Reg. Step 2'(105) in Table 'Template'(6085579);Invoice Reg. Step 2;
