"14-1-6085573-1-20-145";"Field 'Web: Dim. & Job Field Place.'(145) in Table 'Document Capture Setup'(6085573)";"Before Quantity,After Amount";"Before Quantity,After Amount"
"14-1-6085573-1-10-146";"Field 'Web: Show Unit of Measure'(146) in Table 'Document Capture Setup'(6085573)";"Show Unit of Measure";"Show Unit of Measure"
"14-1-6085573-1-10-147";"Field 'Web: Show Type'(147) in Table 'Document Capture Setup'(6085573)";"Show Type";"Show Type"
"14-1-6085573-1-10-148";"Field 'Web: Show Amounts in LCY'(148) in Table 'Document Capture Setup'(6085573)";"Show Amounts in LCY";"Show Amounts in LCY"
"14-1-6085573-1-20-148";"Field 'Web: Show Amounts in LCY'(148) in Table 'Document Capture Setup'(6085573)";"Never,Always,If different from purchase currency";"Never,Always,If different from purchase currency"
"14-1-6085573-1-10-149";"Field 'Web: Historical Documents'(149) in Table 'Document Capture Setup'(6085573)";"Show in Historical Documents";"Show in Historical Documents"
"14-1-6085573-1-20-149";"Field 'Web: Historical Documents'(149) in Table 'Document Capture Setup'(6085573)";"Only Posted Documents,Posted and Un-posted Documents";"Only Posted Documents,Posted and Un-posted Documents"
"14-1-6085573-1-10-15";"Field 'Miscellaneous File Path'(15) in Table 'Document Capture Setup'(6085573)";"Miscellaneous File Path";"Miscellaneous File Path"
"14-1-6085573-1-10-150";"Field 'Error E-Mail'(150) in Table 'Document Capture Setup'(6085573)";"Error E-Mail";"Error E-Mail"
"14-1-6085573-1-10-154";"Field 'Dynamics NAV Server Name'(154) in Table 'Document Capture Setup'(6085573)";"Dynamics NAV Server Name";"Dynamics NAV Server Name"
"14-1-6085573-1-10-155";"Field 'Dynamics NAV Server Instance'(155) in Table 'Document Capture Setup'(6085573)";"Dynamics NAV Server Instance";"Dynamics NAV Server Instance"
"14-1-6085573-1-10-156";"Field 'Dynamics NAV Server Port'(156) in Table 'Document Capture Setup'(6085573)";"Dynamics NAV Server Port";"Dynamics NAV Server Port"
"14-1-6085573-1-10-157";"Field 'Purch: Approval NAV Client'(157) in Table 'Document Capture Setup'(6085573)";"Approval NAV Client";"Approval NAV Client"
"14-1-6085573-1-20-157";"Field 'Purch: Approval NAV Client'(157) in Table 'Document Capture Setup'(6085573)";"Classic,RoleTailored";"Classic,RoleTailored"
"14-1-6085573-1-10-158";"Field 'Barcode Nos.'(158) in Table 'Document Capture Setup'(6085573)";"Barcode Nos.";"Barcode Nos."
"14-1-6085573-1-10-159";"Field 'Web: Show FA Posting Type'(159) in Table 'Document Capture Setup'(6085573)";"Show FA Posting Type";"Show FA Posting Type"
"14-1-6085573-1-10-16";"Field 'E-Mail File Path'(16) in Table 'Document Capture Setup'(6085573)";"E-Mail File Path";"E-Mail File Path"
"14-1-6085573-1-10-160";"Field 'Security Certificate'(160) in Table 'Document Capture Setup'(6085573)";"Security Certificate";"Security Certificate"
"14-1-6085573-1-10-17";"Field 'Export Local OCR Config.'(17) in Table 'Document Capture Setup'(6085573)";"Export Local OCR Configuration";"Export Local OCR Configuration"
"14-1-6085573-1-10-170";"Field 'Codeunit ID: Record ID Lookup'(170) in Table 'Document Capture Setup'(6085573)";"Codeunit ID: Record ID Lookup";"Codeunit ID: Record ID Lookup"
"14-1-6085573-1-10-171";"Field 'Company Code in Archive'(171) in Table 'Document Capture Setup'(6085573)";"Include Company Code in Archive paths";"Include Company Code in Archive paths"
"14-1-6085573-1-10-172";"Field 'Use Cloud OCR'(172) in Table 'Document Capture Setup'(6085573)";"Use Cloud OCR";"Use Cloud OCR"
"14-1-6085573-1-10-173";"Field 'Cloud OCR Cache Timeout'(173) in Table 'Document Capture Setup'(6085573)";"Cloud OCR Cache Timeout";"Cloud OCR Cache Timeout"
"14-1-6085573-1-10-174";"Field 'Category Code in Archive'(174) in Table 'Document Capture Setup'(6085573)";"Include Category Code in Archive paths";"Include Category Code in Archive paths"
"14-1-6085573-1-10-176";"Field 'Web: Allow Forward and Approve'(176) in Table 'Document Capture Setup'(6085573)";"Allow Forward and Approve";"Allow Forward and Approve"
"14-1-6085573-1-10-177";"Field 'Web: Allow Forward w/o Approva'(177) in Table 'Document Capture Setup'(6085573)";"Allow Forward w/o Approval";"Allow Forward w/o Approval"
"14-1-6085573-1-10-178";"Field 'Web: Allow Forward and Return'(178) in Table 'Document Capture Setup'(6085573)";"Allow Forward and return for Approval";"Allow Forward and return for Approval"
"14-1-6085573-1-10-179";"Field 'Use Acc. and Dim. App. Pms.'(179) in Table 'Document Capture Setup'(6085573)";"Use Account and Dimension Approval Permissions";"Use Account and Dimension Approval Permissions"
"14-1-6085573-1-10-18";"Field 'Export Remote OCR Config.'(18) in Table 'Document Capture Setup'(6085573)";"Export Remote OCR Configuration";"Export Remote OCR Configuration"
"14-1-6085573-1-10-180";"Field 'Use UIC Documents'(180) in Table 'Document Capture Setup'(6085573)";"Use Unidentified Company Documents";"Use Unidentified Company Documents"
"14-1-6085573-1-10-19";"Field 'Remote OCR Config. Path'(19) in Table 'Document Capture Setup'(6085573)";"Remote OCR Config. Path";"Remote OCR Config. Path"
"14-1-6085573-1-10-2";"Field 'Document Nos.'(2) in Table 'Document Capture Setup'(6085573)";"Document Nos.";"Document Nos."
"14-1-6085573-1-10-20";"Field 'Date Filter'(20) in Table 'Document Capture Setup'(6085573)";"Date Filter";"Date Filter"
"14-1-6085573-1-10-21";"Field 'Late Loading Classic CaptureUI'(21) in Table 'Document Capture Setup'(6085573)";"Late Loading Classic CaptureUI";"Late Loading Classic CaptureUI"
"14-1-6085573-1-10-3";"Field 'Template Nos.'(3) in Table 'Document Capture Setup'(6085573)";"Template Nos.";"Template Nos."
"14-1-6085573-1-10-30";"Field 'SMTP Require SSL/TLS'(30) in Table 'Document Capture Setup'(6085573)";"SMTP require SSL/TLS";"SMTP require SSL/TLS"
"14-1-6085573-1-10-31";"Field 'Sender E-mail'(31) in Table 'Document Capture Setup'(6085573)";"Sender E-Mail";"Sender E-Mail"
"14-1-6085573-1-10-32";"Field 'Sender Name'(32) in Table 'Document Capture Setup'(6085573)";"Sender Name";"Sender Name"
"14-1-6085573-1-10-33";"Field 'Company Code'(33) in Table 'Document Capture Setup'(6085573)";"Company Code";"Company Code"
"14-1-6085573-1-10-4";"Field 'Scanned File Path for OCR'(4) in Table 'Document Capture Setup'(6085573)";"Scanned File Path for OCR";"Scanned File Path for OCR"
"14-1-6085573-1-10-40";"Field 'Scanner Driver Type'(40) in Table 'Document Capture Setup'(6085573)";"Scanner Driver Type";"Scanner Driver Type"
"14-1-6085573-1-20-40";"Field 'Scanner Driver Type'(40) in Table 'Document Capture Setup'(6085573)";"Isis,Twain";"Isis,Twain"
"14-1-6085573-1-10-41";"Field 'Sign Scanned Documents'(41) in Table 'Document Capture Setup'(6085573)";"Sign Scanned Documents";"Sign Scanned Documents"
"14-1-6085573-1-10-43";"Field 'PDF Signature Certificate'(43) in Table 'Document Capture Setup'(6085573)";"PDF Signature Certificate";"PDF Signature Certificate"
"14-1-6085573-1-10-44";"Field 'PDF Signature Cert. Password'(44) in Table 'Document Capture Setup'(6085573)";"PDF Signature Certificate Password";"PDF Signature Certificate Password"
"14-1-6085573-1-10-6";"Field 'File Path for OCR-proc. files'(6) in Table 'Document Capture Setup'(6085573)";"File Path for OCR-processed files";"File Path for OCR-processed files"
"14-1-6085573-1-10-64";"Field 'Delimiters'(64) in Table 'Document Capture Setup'(6085573)";"Delimiters";"Delimiters"
"14-1-6085573-1-10-65";"Field 'Approval Administrator Role ID'(65) in Table 'Document Capture Setup'(6085573)";"Approval Administrator Role ID";"Approval Administrator Role ID"
"14-1-6085573-1-10-68";"Field 'Data Version'(68) in Table 'Document Capture Setup'(6085573)";"Data Version";"Data Version"
"14-1-6085573-1-10-7";"Field 'PDF File Path for OCR'(7) in Table 'Document Capture Setup'(6085573)";"PDF File Path for OCR";"PDF File Path for OCR"
"14-1-6085573-1-10-8";"Field 'Unidentified Company File Path'(8) in Table 'Document Capture Setup'(6085573)";"Unidentified Company File Path";"Unidentified Company File Path"
"14-1-6085573-1-10-81";"Field 'Web: Dimension 1 Code (Header)'(81) in Table 'Document Capture Setup'(6085573)";"Web Dimension 1 Code (Header)";"Web Dimension 1 Code (Header)"
"14-1-6085573-1-10-82";"Field 'Web: Dimension 2 Code (Header)'(82) in Table 'Document Capture Setup'(6085573)";"Web Dimension 2 Code (Header)";"Web Dimension 2 Code (Header)"
"14-1-6085573-1-10-83";"Field 'Web: Dimension 3 Code (Header)'(83) in Table 'Document Capture Setup'(6085573)";"Web Dimension 3 Code (Header)";"Web Dimension 3 Code (Header)"
"14-1-6085573-1-10-84";"Field 'Web: Dimension 4 Code (Header)'(84) in Table 'Document Capture Setup'(6085573)";"Web Dimension 4 Code (Header)";"Web Dimension 4 Code (Header)"
"14-1-6085573-1-10-85";"Field 'Web: Dimension 5 Code (Header)'(85) in Table 'Document Capture Setup'(6085573)";"Web Dimension 5 Code (Header)";"Web Dimension 5 Code (Header)"
"14-1-6085573-1-10-86";"Field 'Web: Dimension 6 Code (Header)'(86) in Table 'Document Capture Setup'(6085573)";"Web Dimension 6 Code (Header)";"Web Dimension 6 Code (Header)"
"14-1-6085573-1-10-87";"Field 'Web: Dimension 7 Code (Header)'(87) in Table 'Document Capture Setup'(6085573)";"Web Dimension 7 Code (Header)";"Web Dimension 7 Code (Header)"
"14-1-6085573-1-10-88";"Field 'Web: Dimension 8 Code (Header)'(88) in Table 'Document Capture Setup'(6085573)";"Web Dimension 8 Code (Header)";"Web Dimension 8 Code (Header)"
"14-1-6085573-1-10-89";"Field 'Web: Dimension 1 Code (Lines)'(89) in Table 'Document Capture Setup'(6085573)";"Web Dimension 1 Code (Lines)";"Web Dimension 1 Code (Lines)"
"14-1-6085573-1-10-9";"Field 'Fill-out LCY'(9) in Table 'Document Capture Setup'(6085573)";"Fill-out LCY";"Fill-out LCY"
"14-1-6085573-1-10-90";"Field 'Web: Dimension 2 Code (Lines)'(90) in Table 'Document Capture Setup'(6085573)";"Web Dimension 2 Code (Lines)";"Web Dimension 2 Code (Lines)"
"14-1-6085573-1-10-91";"Field 'Web: Dimension 3 Code (Lines)'(91) in Table 'Document Capture Setup'(6085573)";"Web Dimension 3 Code (Lines)";"Web Dimension 3 Code (Lines)"
"14-1-6085573-1-10-92";"Field 'Web: Dimension 4 Code (Lines)'(92) in Table 'Document Capture Setup'(6085573)";"Web Dimension 4 Code (Lines)";"Web Dimension 4 Code (Lines)"
"14-1-6085573-1-10-93";"Field 'Web: Dimension 5 Code (Lines)'(93) in Table 'Document Capture Setup'(6085573)";"Web Dimension 5 Code (Lines)";"Web Dimension 5 Code (Lines)"
"14-1-6085573-1-10-94";"Field 'Web: Dimension 6 Code (Lines)'(94) in Table 'Document Capture Setup'(6085573)";"Web Dimension 6 Code (Lines)";"Web Dimension 6 Code (Lines)"
"14-1-6085573-1-10-95";"Field 'Web: Dimension 7 Code (Lines)'(95) in Table 'Document Capture Setup'(6085573)";"Web Dimension 7 Code (Lines)";"Web Dimension 7 Code (Lines)"
"14-1-6085573-1-10-96";"Field 'Web: Dimension 8 Code (Lines)'(96) in Table 'Document Capture Setup'(6085573)";"Web Dimension 8 Code (Lines)";"Web Dimension 8 Code (Lines)"
"14-1-6085573-1-10-97";"Field 'Web: Show Job No.'(97) in Table 'Document Capture Setup'(6085573)";"Show Job No.";"Show Job No."
"14-1-6085573-1-10-98";"Field 'Web: Show Job Task No.'(98) in Table 'Document Capture Setup'(6085573)";"Show Job Task No.";"Show Job Task No."
"14-1-6085573-1-10-99";"Field 'Web: Show VAT Prod. Group'(99) in Table 'Document Capture Setup'(6085573)";"Show VAT Prod. Group";"Show VAT Prod. Group"
"14-1-6085573-7-10-1160040000";"TextConst with ID 1160040000 in Table 6085573";"Moving files\#1######################";"Moving files\#1######################"
"14-1-6085573-7-10-1160040001";"TextConst with ID 1160040001 in Table 6085573";"Do you want to create and assign %1 for all Document Categories?";"Do you want to create and assign %1 for all Document Categories?"
"14-1-6085573-7-10-1160040002";"TextConst with ID 1160040002 in Table 6085573";"Do you want to export all document categories to Cloud OCR?";"Do you want to export all document categories to Cloud OCR?"
"14-1-6085573-7-10-161024013";"TextConst with ID 161024013 in Table 6085573";"%1 must be unique.\\%1 ''%2'' has also been entered in company ''%3''.";"%1 must be unique.\\%1 ''%2'' has also been entered in company ''%3''."
"14-1-6085573-7-10-161024014";"TextConst with ID 161024014 in Table 6085573";"Documents have already been imported. When you change %1 the system will automatically move files to %2.\\It is important that you take a backup of the existing directory structure and files before the system moves the files.\\Did you do this and do you want to continue changing %1 from ''%3'' to ''%4''?";"Documents have already been imported. When you change %1 the system will automatically move files to %2.\\It is important that you take a backup of the existing directory structure and files before the system moves the files.\\Did you do this and do you want to continue changing %1 from ''%3'' to ''%4''?"
"14-1-6085573-7-10-161024016";"TextConst with ID 161024016 in Table 6085573";"The value in %1 must be the same in all companies that are using Document Capture Web Approval.\\Do you want to update the value of this field in all other companies?";"The value in %1 must be the same in all companies that are using Document Capture Web Approval.\\Do you want to update the value of this field in all other companies?"
"14-1-6085573-7-10-161024017";"TextConst with ID 161024017 in Table 6085573";"Unable to connect to the Document Capture Web Site. Please make sure that you are running the latest version of the Document Capture Web Site.";"Unable to connect to the Document Capture Web Site. Please make sure that you are running the latest version of the Document Capture Web Site."
"14-1-6085574-0-10-6085574";"Object with ID 6085574 in Table 6085574";"Scanner";"Scanner"
"14-1-6085574-1-10-1";"Field 'Code'(1) in Table 'Scanner'(6085574)";"Code";"Code"
"14-1-6085574-1-10-2";"Field 'Name'(2) in Table 'Scanner'(6085574)";"Name";"Name"
"14-1-6085575-0-10-6085575";"Object with ID 6085575 in Table 6085575";"Document Category";"Document Category"
"14-1-6085575-1-10-1";"Field 'Code'(1) in Table 'DC Document Category'(6085575)";"Code";"Code"
"14-1-6085575-1-10-10";"Field 'Registered Documents'(10) in Table 'DC Document Category'(6085575)";"Registered Documents";"Registered Documents"
"14-1-6085575-1-10-11";"Field 'Rejected Documents'(11) in Table 'DC Document Category'(6085575)";"Rejected Documents";"Rejected Documents"
"14-1-6085575-1-10-12";"Field 'Export PDF File'(12) in Table 'DC Document Category'(6085575)";"Export PDF File";"Export PDF File"
"14-1-6085575-1-20-12";"Field 'Export PDF File'(12) in Table 'DC Document Category'(6085575)";"No,Yes - Keep Existing Or Create New,Yes - Always Create New";"No,Yes - Keep Existing Or Create New,Yes - Always Create New"
"14-1-6085575-1-10-13";"Field 'Process Scanned Files'(13) in Table 'DC Document Category'(6085575)";"Process Scanned Files";"Process Scanned Files"
"14-1-6085575-1-10-14";"Field 'Process PDF Files'(14) in Table 'DC Document Category'(6085575)";"Process PDF Files";"Process PDF Files"
"14-1-6085575-1-10-15";"Field 'PDF Format'(15) in Table 'DC Document Category'(6085575)";"PDF Format";"PDF Format"
"14-1-6085575-1-20-15";"Field 'PDF Format'(15) in Table 'DC Document Category'(6085575)";"PDF,PDF/A";"PDF,PDF/A"
"14-1-6085575-1-10-16";"Field 'TIFF Image Resolution'(16) in Table 'DC Document Category'(6085575)";"TIFF Image Resolution";"TIFF Image Resolution"
"14-1-6085575-1-10-18";"Field 'Allow Deleting Documents'(18) in Table 'DC Document Category'(6085575)";"Allow Deleting Documents";"Allow Deleting Documents"
"14-1-6085575-1-10-19";"Field 'Scanning Allowed'(19) in Table 'DC Document Category'(6085575)";"Scanning Allowed";"Scanning Allowed"
"14-1-6085575-1-10-2";"Field 'Description'(2) in Table 'DC Document Category'(6085575)";"Description";"Description"
"14-1-6085575-1-10-20";"Field 'E-Mail Connection Endpoint'(20) in Table 'DC Document Category'(6085575)";"E-Mail Connection Endpoint";"E-Mail Connection Endpoint"
"14-1-6085575-1-10-21";"Field 'Document with UIC'(21) in Table 'DC Document Category'(6085575)";"Doc. with Unidentified Company";"Doc. with Unidentified Company"
"14-1-6085575-1-20-21";"Field 'Document with UIC'(21) in Table 'DC Document Category'(6085575)";"Import in active Company,Import as UIC document";"Import in active Company,Import as UIC document"
"14-1-6085575-1-10-22";"Field 'No. of Documents with UIC'(22) in Table 'DC Document Category'(6085575)";"Open UIC Documents";"Open UIC Documents"
"14-1-6085575-1-10-24";"Field 'No. of Excluded Sources'(24) in Table 'DC Document Category'(6085575)";"No. of Excluded Sources";"No. of Excluded Sources"
"14-1-6085575-1-10-25";"Field 'Allow Drag-and-Drop'(25) in Table 'DC Document Category'(6085575)";"Allow Drag-and-Drop";"Allow Drag-and-Drop"
"14-1-6085575-1-10-26";"Field 'Source Field No.'(26) in Table 'DC Document Category'(6085575)";"Source Field No.";"Source Field No."
"14-1-6085575-1-10-27";"Field 'Source Field No. (Name)'(27) in Table 'DC Document Category'(6085575)";"Source Field No. (Name)";"Source Field No. (Name)"
"14-1-6085575-1-10-28";"Field 'No. of Source Table Filters'(28) in Table 'DC Document Category'(6085575)";"No. of Source Table Filters";"No. of Source Table Filters"
"14-1-6085575-1-10-29";"Field 'Destination Header Table No.'(29) in Table 'DC Document Category'(6085575)";"Destination Header Table No.";"Destination Header Table No."
"14-1-6085575-1-10-3";"Field 'Source Table No.'(3) in Table 'DC Document Category'(6085575)";"Source Table No.";"Source Table No."
"14-1-6085575-1-10-30";"Field 'Destination Line Table No.'(30) in Table 'DC Document Category'(6085575)";"Destination Line Table No.";"Destination Line Table No."
"14-1-6085575-1-10-31";"Field 'Archive E-mails on Document'(31) in Table 'DC Document Category'(6085575)";"Archive E-mails on Document";"Archive E-mails on Document"
"14-1-6085575-1-10-32";"Field 'Source Search Field No.'(32) in Table 'DC Document Category'(6085575)";"Source Search Field No.";"Source Search Field No."
"14-1-6085575-1-10-33";"Field 'TIFF Image Color Mode'(33) in Table 'DC Document Category'(6085575)";"TIFF Image Color Mode";"TIFF Image Color Mode"
"14-1-6085575-1-20-33";"Field 'TIFF Image Color Mode'(33) in Table 'DC Document Category'(6085575)";"Black & White,Gray,Color";"Black & White,Gray,Color"
"14-1-6085575-1-10-4";"Field 'Source Table Name'(4) in Table 'DC Document Category'(6085575)";"Source Table Name";"Source Table Name"
"14-1-6085575-1-10-5";"Field 'Source Type'(5) in Table 'DC Document Category'(6085575)";"Source Type";"Source Type"
"14-1-6085575-1-20-5";"Field 'Source Type'(5) in Table 'DC Document Category'(6085575)";" ,Vendor,Contact,Customer,Job,Item,Fixed Asset,Employee";" ,Vendor,Contact,Customer,Job,Item,Fixed Asset,Employee"
"14-1-6085575-1-10-50";"Field 'Codeunit ID: Reopen'(50) in Table 'DC Document Category'(6085575)";"Codeunit ID: Reopen";"Codeunit ID: Reopen"
"14-1-6085575-1-10-52";"Field 'No. of Identification Fields'(52) in Table 'DC Document Category'(6085575)";"No. of Identification Fields";"No. of Identification Fields"
"14-1-6085575-1-10-53";"Field 'Document Category GUID'(53) in Table 'DC Document Category'(6085575)";"Document Category GUID";"Document Category GUID"
"14-1-6085575-1-10-54";"Field 'Register without Template'(54) in Table 'DC Document Category'(6085575)";"Register without Template";"Register without Template"
"14-1-6085575-1-10-55";"Field 'Register Documents Automatic.'(55) in Table 'DC Document Category'(6085575)";"Register Documents Automatically";"Register Documents Automatically"
"14-1-6085575-1-10-56";"Field 'Codeunit ID: Show Reg. Doc.'(56) in Table 'DC Document Category'(6085575)";"Codeunit ID: Show Reg. Doc.";"Codeunit ID: Show Reg. Doc."
"14-1-6085575-1-10-58";"Field 'Codeunit ID: Get Doc. Status'(58) in Table 'DC Document Category'(6085575)";"Codeunit ID: Get Doc. Status";"Codeunit ID: Get Doc. Status"
"14-1-6085575-1-10-6";"Field 'Open Documents'(6) in Table 'DC Document Category'(6085575)";"Open Documents";"Open Documents"
"14-1-6085575-1-10-60";"Field 'Documents for OCR'(60) in Table 'DC Document Category'(6085575)";"Documents for OCR";"Documents for OCR"
"14-1-6085575-1-10-61";"Field 'Documents for import'(61) in Table 'DC Document Category'(6085575)";"Documents for import";"Documents for import"
